timestamp_optimized,arm_order,arm1,arm2,arm3,timestamp_measured,power_dbm
2026-06-11T10:05:30+02:00,HQQ,24,43,128,2026-06-11T10:05:35+02:00,-26.3759
2026-06-11T10:10:34+02:00,QHQ,8,78,100,2026-06-11T10:10:39+02:00,-31.3066
2026-06-11T10:15:30+02:00,HQQ,19,85,108,2026-06-11T10:15:35+02:00,-30.4487
2026-06-11T10:20:29+02:00,QHQ,24,28,119,2026-06-11T10:20:34+02:00,-30.5916
2026-06-11T10:25:29+02:00,HQQ,48,84,139,2026-06-11T10:25:34+02:00,-27.9544
2026-06-11T10:30:29+02:00,QHQ,78,126,114,2026-06-11T10:30:34+02:00,-28.7985
2026-06-11T10:35:31+02:00,HQQ,122,24,27,2026-06-11T10:35:36+02:00,-24.2897
2026-06-11T10:40:37+02:00,QHQ,154,39,7,2026-06-11T10:40:42+02:00,-27.7425
2026-06-11T10:45:29+02:00,HQQ,149,33,43,2026-06-11T10:45:34+02:00,-31.6396
2026-06-11T10:50:30+02:00,QHQ,22,90,108,2026-06-11T10:50:35+02:00,-29.008
2026-06-11T10:55:47+02:00,HQQ,154,37,49,2026-06-11T10:55:52+02:00,-27.6356
2026-06-11T11:00:38+02:00,QHQ,154,39,8,2026-06-11T11:00:43+02:00,-26.5662
2026-06-11T11:05:32+02:00,HQQ,113,21,25,2026-06-11T11:05:37+02:00,-20.7987
2026-06-11T11:10:30+02:00,QHQ,26,30,117,2026-06-11T11:10:35+02:00,-27.0623
2026-06-11T11:15:39+02:00,HQQ,154,38,6,2026-06-11T11:15:44+02:00,-27.451
2026-06-11T11:20:30+02:00,QHQ,41,81,135,2026-06-11T11:20:35+02:00,-29.2391
2026-06-11T11:25:29+02:00,HQQ,101,133,109,2026-06-11T11:25:34+02:00,-30.7664
2026-06-11T11:30:38+02:00,QHQ,56,6,0,2026-06-11T11:30:43+02:00,-28.5424
2026-06-11T11:35:36+02:00,HQQ,154,135,151,2026-06-11T11:35:41+02:00,-30.2342
2026-06-11T11:40:36+02:00,QHQ,11,80,99,2026-06-11T11:40:41+02:00,-29.3412
2026-06-11T11:45:28+02:00,HQQ,92,129,110,2026-06-11T11:45:33+02:00,-29.9713
2026-06-11T11:50:29+02:00,QHQ,83,128,110,2026-06-11T11:50:34+02:00,-27.4546
2026-06-11T11:55:29+02:00,HQQ,112,137,110,2026-06-11T11:55:34+02:00,-32.1737
2026-06-11T12:00:31+02:00,QHQ,19,85,104,2026-06-11T12:00:36+02:00,-30.5287
2026-06-11T12:05:31+02:00,HQQ,34,92,110,2026-06-11T12:05:36+02:00,-28.3205
2026-06-11T12:10:29+02:00,QHQ,23,36,121,2026-06-11T12:10:34+02:00,-28.8158
2026-06-11T12:15:31+02:00,HQQ,33,20,100,2026-06-11T12:15:36+02:00,-24.8073
2026-06-11T12:20:35+02:00,QHQ,100,111,151,2026-06-11T12:20:40+02:00,-26.9983
2026-06-11T12:25:36+02:00,HQQ,129,121,152,2026-06-11T12:25:41+02:00,-29.7571
2026-06-11T12:30:30+02:00,QHQ,23,25,109,2026-06-11T12:30:35+02:00,-28.5378
2026-06-11T12:35:39+02:00,HQQ,145,130,150,2026-06-11T12:35:44+02:00,-31.4996
2026-06-11T12:40:38+02:00,QHQ,154,37,6,2026-06-11T12:40:43+02:00,-25.0969
2026-06-11T12:45:30+02:00,HQQ,55,10,62,2026-06-11T12:45:35+02:00,-21.4567
2026-06-11T12:50:29+02:00,QHQ,42,9,74,2026-06-11T12:50:34+02:00,-27.878
2026-06-11T12:55:34+02:00,HQQ,154,34,43,2026-06-11T12:55:39+02:00,-32.0157
2026-06-11T13:00:32+02:00,QHQ,147,35,7,2026-06-11T13:00:37+02:00,-29.952
2026-06-11T13:05:43+02:00,HQQ,34,67,130,2026-06-11T13:05:48+02:00,-28.7397
2026-06-11T13:10:32+02:00,QHQ,56,111,112,2026-06-11T13:10:37+02:00,-29.6689
2026-06-11T13:15:37+02:00,HQQ,152,134,150,2026-06-11T13:15:42+02:00,-28.2287
2026-06-11T13:20:30+02:00,QHQ,83,106,147,2026-06-11T13:20:35+02:00,-29.1287
2026-06-11T13:25:28+02:00,HQQ,119,138,110,2026-06-11T13:25:33+02:00,-32.6492
2026-06-11T13:30:38+02:00,QHQ,154,37,5,2026-06-11T13:30:43+02:00,-27.3651
2026-06-11T13:35:30+02:00,HQQ,34,87,121,2026-06-11T13:35:35+02:00,-22.1947
2026-06-11T13:40:31+02:00,QHQ,21,41,126,2026-06-11T13:40:36+02:00,-31.2282
2026-06-11T13:45:34+02:00,HQQ,152,34,44,2026-06-11T13:45:39+02:00,-32.8826
2026-06-11T13:50:31+02:00,QHQ,10,41,137,2026-06-11T13:50:36+02:00,-20.8791
2026-06-11T13:55:39+02:00,HQQ,154,36,47,2026-06-11T13:55:44+02:00,-28.1009
